x	y	t	temp
1.521739214658737183e-01	6.862226724624633789e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.826087176799774170e-01	9.121423363685607910e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.666666716337203979e-01	2.594855427742004395e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.884057968854904175e-01	7.991825342178344727e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.159420609474182129e-01	8.117336034774780273e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.347826242446899414e-01	5.866803228855133057e-02	0.000000000000000000e+00	5.000000000000000000e-01
4.637681245803833008e-01	2.510218508541584015e-02	0.000000000000000000e+00	5.000000000000000000e-01
7.028985619544982910e-01	4.352008104324340820e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.594203114509582520e-01	5.356095433235168457e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.811594367027282715e-01	9.372445344924926758e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.463768273591995239e-01	9.497956633567810059e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.869565010070800781e-01	6.360183358192443848e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.014492511749267578e-01	5.866804346442222595e-02	0.000000000000000000e+00	5.000000000000000000e-01
8.695652335882186890e-02	6.736716032028198242e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.768025934696197510e-01	7.129130512475967407e-02	0.000000000000000000e+00	5.000000000000000000e-01
7.246376872062683105e-01	2.971388101577758789e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.101449370384216309e-01	9.497956037521362305e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.463929653167724609e-01	5.869030952453613281e-02	0.000000000000000000e+00	5.000000000000000000e-01
6.231884360313415527e-01	1.214235052466392517e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.286644101142883301e-01	1.173075102269649506e-02	0.000000000000000000e+00	5.000000000000000000e-01
4.200901687145233154e-01	4.704174026846885681e-02	0.000000000000000000e+00	5.000000000000000000e-01
3.478260934352874756e-01	7.740803360939025879e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.523439288139343262e-02	7.866216897964477539e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.275362491607666016e-01	3.598942756652832031e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.202898740768432617e-01	7.740803360939025879e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.666666716337203979e-01	8.117336034774780273e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.843268156051635742e-01	4.627215862274169922e-02	0.000000000000000000e+00	5.000000000000000000e-01
5.797101259231567383e-01	5.481606721878051758e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.664281964302062988e-02	3.094534277915954590e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.014492809772491455e-01	2.306616306304931641e-02	0.000000000000000000e+00	5.000000000000000000e-01
4.492753744125366211e-01	7.740803360939025879e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.130434989929199219e-01	7.991825342178344727e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.971014678478240967e-01	4.854052066802978516e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.362318754196166992e-01	7.121913880109786987e-02	0.000000000000000000e+00	5.000000000000000000e-01
2.028985619544982910e-01	8.995912671089172363e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.710144996643066406e-01	3.560956567525863647e-02	0.000000000000000000e+00	5.000000000000000000e-01
1.884057968854904175e-01	6.736716032028198242e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.231884136795997620e-01	5.858139395713806152e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.304347813129425049e-01	2.971388101577758789e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.318840622901916504e-01	7.364270687103271484e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.855072498321533203e-01	3.347920775413513184e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.173913121223449707e-01	7.121913880109786987e-02	0.000000000000000000e+00	5.000000000000000000e-01
9.420290589332580566e-02	3.096899092197418213e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.014492809772491455e-01	1.716278791427612305e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.913043737411499023e-01	5.858139395713806152e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.855072498321533203e-01	1.841789633035659790e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.563450217247009277e-01	6.988757848739624023e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.536231875419616699e-01	8.995912671089172363e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.028985619544982910e-01	5.607117414474487305e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.923418581485748291e-02	4.729155600070953369e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.744112491607666016e-01	8.105967640876770020e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.333333432674407959e-01	4.728541076183319092e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.710144996643066406e-01	7.113248705863952637e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.188405930995941162e-01	5.732628703117370605e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.782608747482299805e-01	2.469344288110733032e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.681159675121307373e-01	9.623467326164245605e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.695652186870574951e-01	4.854052066802978516e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.753623127937316895e-01	7.364270687103271484e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.942028760910034180e-01	6.987738013267517090e-01	0.000000000000000000e+00	5.000000000000000000e-01
